,Instrument,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,"Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Gross Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Operating Margin, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","Total Debt to Total Equity, Percent","CO2 Equivalent Emissions Direct, Scope 1, 2022","CO2 Equivalent Emissions Direct, Scope 1, 2021","CO2 Equivalent Emissions Direct, Scope 1, 2020","CO2 Equivalent Emissions Direct, Scope 1, 2019","CO2 Equivalent Emissions Indirect, Scope 2, 2022","CO2 Equivalent Emissions Indirect, Scope 2, 2021","CO2 Equivalent Emissions Indirect, Scope 2, 2020","CO2 Equivalent Emissions Indirect, Scope 2, 2019","CO2 Equivalent Emissions Indirect, Scope 3, 2022","CO2 Equivalent Emissions Indirect, Scope 3, 2021","CO2 Equivalent Emissions Indirect, Scope 3, 2020","CO2 Equivalent Emissions Indirect, Scope 3, 2019","CO2 Equivalent Emissions Total, 2022","CO2 Equivalent Emissions Total, 2021","CO2 Equivalent Emissions Total, 2020","CO2 Equivalent Emissions Total, 2019","CO2 Estimation Method, 2022","CO2 Estimation Method, 2021","CO2 Estimation Method, 2020","CO2 Estimation Method, 2019",Employee Satisfaction,Employees With Disabilities,Employees Health & Safety Controversies,Full-Time Employees (Pvt),Employee Satisfaction,Employees With Disabilities,Employee Health & Safety Training Hours,Employee Accidents,Employee Lost Working Days,Employees Health & Safety Controversies,Employee Resource Groups,Employee Engagement Voluntary Work,Policy Supply Chain Health & Safety,Environmental Supply Chain Monitoring,Environmental Supply Chain Management,Policy Environmental Supply Chain,Supply Chain Health & Safety Training,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Resource Reduction Targets,Targets Water Efficiency,Targets Energy Efficiency,Renewable Energy Use Ratio,Energy Use Total,Energy Purchased Direct,Renewable Energy Purchased,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,SOx Emissions To Revenues USD in million,Injuries To Million Hours,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Trade Union Representation,Recent Diversity Opportunity Controversies,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage,Executive Compensation Controversies,Sustainability Compensation Incentives,Executive Individual Compensation
0,PG.N,Procter & Gamble Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,48.05258,47.65361,51.42542,51.18252,22.10204,22.20934,22.93019,22.11839,73.98294033,67.59750156,68.97235758,74.63296146,2238000,2218000,2217000,2162000,160000,2566620,1843000,1919000,,246503000,,,2398000,4784620,4060000,4081000,Reported,Reported,Reported,Reported,,,,107000,,,,283,,,0,1,0,,0,1,0,173.5392353,190.9352526,1,1,0,,63077000,63077000,,911.7422949,69400000,69400000,,,1.4,1,0,,1,,,,,,,,,,,,33,,,,,,,0,1,0
1,KO.N,Coca-Cola Co,Consumer Non-Cyclicals,Food & Beverages,Beverages,58.14343,60.27163,59.3112,60.77121,25.49995,28.24473,29.01496,24.69812,162.4102883,185.925475,221.7368776,225.2937148,555510,793460,1830000,1790000,869832,802707,3730000,3760000,57959900,54039000,22810000,24580900,1425340,1596170,5560000,5550000,Reported,Reported,Reported,Reported,,,,82500,,,,,,,1,1,1,1,1,1,1,32.78362047,992.8755722,1,1,0,0.098806586,9847380,9856590,972986,7715.302031,298235000,292476000,,,,1,1,,,20.9,14.8,54.2,2.9,2.9,37.2,10.4,15.4,8.9,62.8,2.5,33,,,,,,,0,1,0
2,MO.N,Altria Group Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,56.49506,53.98839,51.55814,50.62923,47.49362,41.94441,31.63308,6.75826,,,1038.076788,450.6910961,129087,139868,154507,162162,123359,141100,147909,167120,5420780,5189890,5227733,5078448,252446,280968,302416,329282,Reported,Reported,Reported,Reported,76,,,6300,76,,,69,48.642,,1,1,1,1,1,1,1,33.45789277,76.76130983,1,1,1,0.001835615,3850970,3850970,7068.9,339.6436397,8835150,8835150,,,5.674,1,0,30,,26.7,4.4,61.5,2.7,2.7,27.9,4.1,16.4,4,72.1,3.4,33.2,8.3,8.3,8.3,66.8,66.8,8.3,0,0,0
3,F.N,Ford Motor Co,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,10.87962,12.05653,4.56805,8.01475,3.89416,2.06908,-3.46772,0.33291,321.375052,284.6142748,526.8295862,468.0036161,1197740,1069910,940000,1130000,2557310,2616000,2020000,2350000,370223000,299854000,347878908.5,183077722,3755050,3695910,2960000,3480000,Reported,Reported,Reported,Reported,,,,173000,,,,,,,1,1,1,1,1,1,1,243.9321957,81.33497081,1,1,1,0.158354476,45286500,45163600,7171320,95.53515504,15100000,15100000,890000,,,1,0,99,2,8.7,4.5,68.3,2,2,20.5,,,,,,14.28,,7.14,7.14,85.72,85.72,,0,1,0
4,ABT.N,Abbott Laboratories,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,56.28479,57.07487,56.75277,58.63842,19.05253,19.55891,15.81137,14.00765,45.72043831,50.41617787,57.18338214,56.59096758,530000,536000,499000,540000,476000,478000,479000,502000,12829000,12480000,12980140,11971500,1006000,1014000,978000,1041000,Reported,Reported,Reported,Reported,,,,115000,,,,,,,1,1,1,1,1,1,1,74.1535938,72.05357656,1,1,0,0.045720324,14195000,14063000,649000,315.9691201,13793000,13793000,1642000,0.001374476,1.25,1,1,,,9.7,11,56.8,2.5,2.5,35,,,,,,25,,,,,,,0,1,0
5,HON.OQ,Honeywell International Inc,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,32.82299,31.97837,32.07403,33.69746,17.98624,21.03687,18.42081,20.59168,117.2066838,105.5468792,127.5514274,86.52535958,1324742,1387727,1090649,1479149,808985,860579,951982,1048843,16852621,16135743,16976983,,2133727,2248306,2042631,2527992,Reported,Reported,Reported,Reported,,,,97000,,,,248,,,1,1,1,1,1,1,1,98.1951843,119.6419961,0,0,0,0.007903353,16086538.8,15749499.6,127137.6,569.8999767,19600000,,,,1.25,1,0,,,10,9.2,66.2,2.4,2.4,27.6,13.2,5.7,6.2,72.4,2.5,45.46,,,,54.54,54.54,45.46,0,1,0
6,AXP.N,American Express Co,Financials,Banking & Investment Services,Banking Services,66.00783,68.58397,72.41696,68.48055,17.62305,24.95215,11.6014,18.68336,623.851726,564.9997745,573.0290637,596.2637077,29422,17754,22029,24363,86734,80275,93997,113964,12025,850,5933,53398,116156,98029,116026,138327,Reported,Reported,Reported,Reported,90,,,77300,90,,,,,,1,1,0,,0,1,0,7.699023341,1.408622834,1,1,1,0.693817087,1188760,1186840,824782,3.998915222,217497,217497,,,,1,0,,,17.9,14.2,45.3,3.9,3.9,44.8,22.5,8.8,10.8,55.2,2.7,36,,29,7,64,64,,0,1,0
7,ADM.N,Archer-Daniels-Midland Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,7.45402,7.02296,6.91943,6.41394,4.08248,3.17892,1.98431,2.08952,37.80266842,42.43893758,49.645,46.23594336,13500000,13700000,13500000,14300000,2130000,2300000,2700000,2800000,118083000,66800000,37800000,,15630000,16000000,16200000,17100000,Reported,Reported,Reported,Reported,,,,42000,,,,,,,1,1,1,1,1,1,0,3304.506036,1865.639273,1,1,1,0.05259366,199872000,199872000,10512000,1111.136713,112842600,112842600,,,3.65,1,1,15.9,,,,,,,,,,,,,41.66,,,,58.34,58.34,41.66,0,1,0
8,BAX.N,Baxter International Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,35.88301,40.34731,39.70702,42.43091,-13.85562,12.94587,12.5075,8.95089,285.2048688,194.5576732,71.26251582,67.87617356,373000,338000,313000,300000,413000,385000,600000,410000,6178000,4661000,4491000,4989000,786000,723000,913000,710000,Reported,Reported,Reported,Reported,,,,60000,,,,,,,1,1,1,1,1,1,0,,,1,1,0,0.291447978,11660400,11631600,3398400,994.1771984,15025000,,,0.008271025,2,1,1,,,10.2,17.5,62.6,2.2,2.2,25.5,12.7,3.7,7.3,74.5,1.8,20,,,,,,,0,1,0
9,VZ.N,Verizon Communications Inc,Technology,Telecommunications Services,Telecommunications Services,56.78518,57.86263,60.09026,58.49941,22.58267,23.41539,21.11277,20.20809,165.2758273,184.4577577,190.2390849,181.5929636,273904,310145,336831,358753,3498640,3554160,3753660,4006870,14401400,15267200,15640400,16954200,3772550,3864300,4090490,4365630,Reported,Reported,Reported,Reported,,,,117100,,,,1298,,,1,1,1,1,1,1,1,129.6902319,23.61177705,1,0,1,,41167700,,,54.77480177,7495110,7495110,,,5.5,1,1,22.5,,20,12.9,52.5,6.4,6.4,42.6,19.2,8.7,8.8,57.4,5.9,45.4545,9.0909,27.2727,9.0909,54.5454,54.5454,,0,1,0
10,BA.N,Boeing Co,Industrials,Industrial Goods,Aerospace & Defense,5.25763,4.84379,-8.84309,15.00271,-5.32519,-4.65915,-21.76589,-2.32852,,,,,642000,612000,554000,613000,779000,753000,762000,871000,,,,,1421000,1365000,1316000,1484000,Reported,Reported,Reported,Reported,,7.7,,156000,,7.7,,,,,1,1,0,,1,1,0,106.2281242,26.98677923,1,1,1,0.144844029,18118800,18118800,2624400,69.10581312,4603000,4556000,49000,,,1,1,33,,7.1,8.1,64.2,4.7,4.7,27.1,,,,,,25,,,,,,,0,1,0
11,CPB.N,Campbell Soup Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,31.36689,30.74048,33.19962,34.61052,14.02159,13.58327,18.22794,13.30112,128.0797596,144.4010808,160.4695431,241.7479516,465257,469912,434869,443186,222266,222325,214265,250690,6255790,6253510,4110380,7262,687523,692237,649134,693876,Reported,Reported,Reported,Reported,,,,14500,,,,156,,,1,1,1,1,1,1,1,610.3804603,1173.058647,1,1,0,,11175700,10968800,,2533.978292,21478000,,,,5.55,1,0,15,,19.44,14.62,55.92,5.22,5.22,20.73,8.01,5.41,5.28,79.27,2.03,23.1,7.7,7.7,7.7,76.9,76.9,,0,0,0
12,CAT.N,Caterpillar Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",30.78062,30.4428,30.44218,32.14126,13.30035,13.49395,10.90591,15.40892,233.1148781,229.2465421,242.4042789,258.1368248,740000,740000,694000,905000,800000,850000,827000,926000,613000000,,,,1540000,1590000,1521000,1831000,Reported,Reported,Reported,Reported,,,,109100,,,,,,,1,1,1,1,1,1,0,127.6564162,96.69293189,1,1,0,,20640000,,,263.0740236,15633700,9036300,,,2.2,1,1,41,,,,,,,,,,,,,17,,,,,,,0,1,0
